subframe_index,exposure_time,mean_sum_div_2,var_sum,var_diff,exposure_time_sq,var_fpn_unscaled
0,0.7,273.78082,345.67432,332.6826,0.48999999999999994,12.99173
1,0.7,273.89902,345.00574,334.01498,0.48999999999999994,10.990753
2,0.7,273.9795,347.92184,337.17664,0.48999999999999994,10.745209
3,0.7,272.78876,329.8923,327.4777,0.48999999999999994,2.4146118
4,0.7,272.86707,332.7438,327.0188,0.48999999999999994,5.725006
5,0.7,273.2106,334.77353,329.6017,0.48999999999999994,5.171814
6,0.7,273.80084,349.3172,337.4741,0.48999999999999994,11.843109
7,0.7,273.91052,349.62695,336.57846,0.48999999999999994,13.048492
8,0.7,274.27966,351.51752,338.23938,0.48999999999999994,13.278137
0,0.4,273.40396,335.7848,329.2486,0.16000000000000003,6.536194
1,0.4,273.49142,336.26443,329.34247,0.16000000000000003,6.9219666
2,0.4,273.61017,339.68082,333.47232,0.16000000000000003,6.208496
3,0.4,272.74197,330.20438,328.0618,0.16000000000000003,2.1425781
4,0.4,272.809,330.49524,326.4959,0.16000000000000003,3.9993286
5,0.4,273.13907,333.64624,330.67532,0.16000000000000003,2.9709167
6,0.4,273.3459,339.25784,333.43747,0.16000000000000003,5.8203735
7,0.4,273.44302,338.44928,332.70325,0.16000000000000003,5.7460327
8,0.4,273.82117,339.49075,334.97113,0.16000000000000003,4.519623
0,0.5,273.56415,339.365,330.77637,0.25,8.588623
1,0.5,273.6082,338.40057,330.90225,0.25,7.4983215
2,0.5,273.743,341.75955,335.1251,0.25,6.6344604
3,0.5,272.84097,330.87125,327.17023,0.25,3.7010193
4,0.5,272.89282,331.8035,326.7686,0.25,5.034912
5,0.5,273.23367,334.96475,329.6638,0.25,5.3009644
6,0.5,273.49484,342.8301,334.79935,0.25,8.030762
7,0.5,273.5916,342.0069,333.88403,0.25,8.122864
8,0.5,273.96808,344.45932,336.67337,0.25,7.7859497
0,3.2e-05,272.83673,326.57388,325.211,1.024e-09,1.3628845
1,3.2e-05,272.86035,326.08383,324.6216,1.024e-09,1.4622192
2,3.2e-05,273.02548,331.63806,329.36066,1.024e-09,2.2774048
3,3.2e-05,272.77698,329.88257,327.35147,1.024e-09,2.5310974
4,3.2e-05,272.80914,328.25937,326.56772,1.024e-09,1.6916504
5,3.2e-05,273.1572,332.27347,330.7572,1.024e-09,1.5162659
6,3.2e-05,272.77588,329.23636,326.79242,1.024e-09,2.4439392
7,3.2e-05,272.81345,328.5523,326.49518,1.024e-09,2.057129
8,3.2e-05,273.21457,330.69223,328.8536,1.024e-09,1.838623
0,1.0,273.17194,335.1895,327.44202,1.0,7.7474976
1,1.0,273.21616,331.72308,327.7125,1.0,4.0105896
2,1.0,273.35617,336.15143,331.8583,1.0,4.2931213
3,1.0,272.73483,330.2205,327.20862,1.0,3.0118713
4,1.0,272.7947,335.0598,327.16333,1.0,7.8964844
5,1.0,273.15344,340.43997,330.29498,1.0,10.144989
6,1.0,273.1318,336.458,331.26218,1.0,5.1958313
7,1.0,273.2062,335.25647,330.48456,1.0,4.7719116
8,1.0,273.5976,337.36984,332.15543,1.0,5.2144165
0,0.8,274.0537,352.20905,335.05396,0.6400000000000001,17.15509
1,0.8,274.13028,349.59903,335.0228,0.6400000000000001,14.576233
2,0.8,274.20422,353.027,339.68304,0.6400000000000001,13.343964
3,0.8,272.81567,331.60913,327.86725,0.6400000000000001,3.7418823
4,0.8,272.88342,334.43433,327.30545,0.6400000000000001,7.1288757
5,0.8,273.20834,339.2097,330.9919,0.6400000000000001,8.217773
6,0.8,274.11838,355.66464,338.47128,0.6400000000000001,17.19336
7,0.8,274.2311,355.31888,337.4983,0.6400000000000001,17.820587
8,0.8,274.5639,357.66138,340.10382,0.6400000000000001,17.557556
0,0.3,273.2634,333.44257,328.77463,0.09,4.667938
1,0.3,273.30792,333.18668,328.8997,0.09,4.2869873
2,0.3,273.4602,337.5253,333.23633,0.09,4.288971
3,0.3,272.7127,329.80652,327.83035,0.09,1.9761658
4,0.3,272.76447,329.87985,326.9637,0.09,2.9161377
5,0.3,273.1085,334.6426,330.66528,0.09,3.9773254
6,0.3,273.2226,336.4373,331.26694,0.09,5.170349
7,0.3,273.30328,336.32404,330.47107,0.09,5.8529663
8,0.3,273.67795,338.92496,333.1516,0.09,5.773346
0,0.9,274.18103,356.54092,337.34277,0.81,19.19815
1,0.9,274.2545,353.9493,337.29428,0.81,16.65503
2,0.9,274.32745,358.10056,342.4365,0.81,15.6640625
3,0.9,272.8108,331.73615,328.8124,0.81,2.9237366
4,0.9,272.88315,335.61084,328.2865,0.81,7.324341
5,0.9,273.22134,339.449,331.9669,0.81,7.4821167
6,0.9,274.26044,363.36707,341.1402,0.81,22.226868
7,0.9,274.37253,362.54715,340.76993,0.81,21.777222
8,0.9,274.70767,365.39304,342.91867,0.81,22.474365
0,0.6,273.64694,344.79382,333.012,0.36,11.78183
1,0.6,273.71387,343.36884,332.7718,0.36,10.597046
2,0.6,273.80777,346.6615,336.87848,0.36,9.78302
3,0.6,272.83447,330.87048,327.8574,0.36,3.013092
4,0.6,272.9015,332.739,327.57144,0.36,5.167572
5,0.6,273.22235,336.4415,330.87897,0.36,5.5625305
6,0.6,273.74,346.4063,336.16742,0.36,10.238892
7,0.6,273.8427,346.40195,335.34058,0.36,11.061371
8,0.6,274.1938,349.053,338.20035,0.36,10.852661
0,0.1,272.945,329.28482,327.20563,0.010000000000000002,2.079193
1,0.1,272.96866,328.89496,326.71002,0.010000000000000002,2.1849365
2,0.1,273.12927,333.74854,331.98325,0.010000000000000002,1.7652893
3,0.1,272.7521,331.4306,326.61462,0.010000000000000002,4.815979
4,0.1,272.78842,331.17694,327.17978,0.010000000000000002,3.9971619
5,0.1,273.1223,334.59705,330.4792,0.010000000000000002,4.117859
6,0.1,272.88928,331.7904,328.55295,0.010000000000000002,3.2374573
7,0.1,272.9391,330.7726,327.66217,0.010000000000000002,3.110443
8,0.1,273.3216,333.33292,329.91602,0.010000000000000002,3.4169006
0,0.2,273.0778,331.47052,327.6917,0.04000000000000001,3.7788086
1,0.2,273.10095,331.20618,327.0327,0.04000000000000001,4.173462
2,0.2,273.2624,335.51596,332.63965,0.04000000000000001,2.8763123
3,0.2,272.71194,330.66443,327.0153,0.04000000000000001,3.6491394
4,0.2,272.74106,330.17014,326.53088,0.04000000000000001,3.6392517
5,0.2,273.08197,333.4113,330.2162,0.04000000000000001,3.1950989
6,0.2,273.02576,333.86206,330.1305,0.04000000000000001,3.7315674
7,0.2,273.0785,332.77737,329.28665,0.04000000000000001,3.4907227
8,0.2,273.4579,335.69193,332.11694,0.04000000000000001,3.5749817
0,70.0,273.74796,6488.651,375.04645,4900.0,6113.6045
1,70.0,273.83136,658.301,330.60907,4900.0,327.69196
